,Topic_Number,LDA_Equation
50,50,"[('pineal', 0.034482758620689655), ('santa_cruz', 0.022988505747126436), ('refresh', 0.017241379310344827), ('ley', 0.017241379310344827), ('minimal', 0.017241379310344827), ('manly', 0.017241379310344827), ('thc', 0.017241379310344827), ('earther', 0.017241379310344827), ('joe_rogan', 0.011494252873563218), ('calcify', 0.011494252873563218)]"
51,51,"[('factsviolent', 0.014814814814814815), ('overstay', 0.014814814814814815), ('proudretweet', 0.007407407407407408), ('outlast', 0.007407407407407408), ('hamm', 0.007407407407407408), ('legalassistance', 0.007407407407407408), ('missingplease', 0.007407407407407408), ('misguide', 0.007407407407407408), ('chilli', 0.007407407407407408), ('antibiotic', 0.007407407407407408)]"
52,52,"[('art', 0.16819012797074953), ('twitch_play', 0.10237659963436929), ('boston', 0.06764168190127971), ('beatle', 0.010968921389396709), ('gallery', 0.007312614259597806), ('gauguin', 0.005484460694698354), ('meow', 0.005484460694698354), ('spaced', 0.005484460694698354), ('horror', 0.005484460694698354), ('death_threat', 0.005484460694698354)]"
53,53,"[('probiotic', 0.02702702702702703), ('magnatone', 0.02702702702702703), ('strain', 0.02702702702702703), ('formulate', 0.02027027027027027), ('kannaway', 0.013513513513513514), ('brigham', 0.013513513513513514), ('plexus', 0.013513513513513514), ('patented', 0.013513513513513514), ('lularoe', 0.013513513513513514), ('maximize', 0.013513513513513514)]"
54,54,"[('hear', 0.2505707762557078), ('production', 0.027254566210045662), ('nelly', 0.02011986301369863), ('ambrose', 0.01997716894977169), ('plunge', 0.0182648401826484), ('thawed', 0.016695205479452056), ('ash', 0.016695205479452056), ('heard_slither', 0.016409817351598174), ('contest', 0.015125570776255707), ('business', 0.013841324200913241)]"
55,55,"[('parenting_simplified', 0.043478260869565216), ('retailmenot', 0.041304347826086954), ('little_debbie', 0.034782608695652174), ('panera_bread', 0.034782608695652174), ('entenmann', 0.02391304347826087), ('donut', 0.02391304347826087), ('squeeble', 0.02391304347826087), ('instant', 0.02391304347826087), ('mnn_mother', 0.021739130434782608), ('score_brandnew', 0.01956521739130435)]"
56,56,"[('meteorite', 0.009852216748768473), ('sl', 0.009852216748768473), ('thisand', 0.009852216748768473), ('americansport', 0.0049261083743842365), ('oktomorrow', 0.0049261083743842365), ('reasoni', 0.0049261083743842365), ('twin_peak', 0.0049261083743842365), ('strangehe', 0.0049261083743842365), ('hugga', 0.0049261083743842365), ('stunner', 0.0049261083743842365)]"
57,57,"[('scully', 0.02808205536745668), ('dude', 0.022903804023102967), ('mulder', 0.02031467835092611), ('season', 0.018522206731726748), ('bad', 0.016331408086038637), ('gillian', 0.016132244572794264), ('folk', 0.014538936466839274), ('gross', 0.013343955387373034), ('fat', 0.013343955387373034), ('autistic', 0.01254730133439554)]"
58,58,"[('democrat', 0.06906906906906907), ('medium', 0.0297990297990298), ('liberal', 0.022176022176022176), ('fbi', 0.02079002079002079), ('cnn', 0.02055902055902056), ('obama', 0.017787017787017786), ('fake_new', 0.015708015708015707), ('dem', 0.012936012936012936), ('ford', 0.012936012936012936), ('kavanaugh', 0.009471009471009472)]"
59,59,"[('https', 0.03877159309021113), ('holiday', 0.03550863723608445), ('ad', 0.028598848368522074), ('recipe', 0.022456813819577735), ('gift', 0.022264875239923224), ('kid', 0.02092130518234165), ('http', 0.019193857965451054), ('easy', 0.01689059500959693), ('idea', 0.016506717850287907), ('cookie', 0.016506717850287907)]"
60,60,"[('seasoned', 0.012269938650306749), ('amnesia', 0.012269938650306749), ('housein', 0.006134969325153374), ('xainfri', 0.006134969325153374), ('glov', 0.006134969325153374), ('generate', 0.006134969325153374), ('hoarding', 0.006134969325153374), ('witness', 0.006134969325153374), ('ddamn', 0.006134969325153374), ('deadi', 0.006134969325153374)]"
61,61,"[('yubikey', 0.015384615384615385), ('structural', 0.015384615384615385), ('decease', 0.007692307692307693), ('scrunchie', 0.007692307692307693), ('ainge', 0.007692307692307693), ('stoppage', 0.007692307692307693), ('pointed', 0.007692307692307693), ('moisturizer', 0.007692307692307693), ('rotationhe', 0.007692307692307693), ('refrigerat', 0.007692307692307693)]"
62,62,"[('clay_aiken', 0.11442420681551116), ('clay', 0.03260869565217391), ('vote', 0.018066980023501763), ('love', 0.015863689776733254), ('great', 0.012338425381903642), ('video', 0.01219153936545241), ('voice', 0.01189776733254994), ('american_idol', 0.010869565217391304), ('idol', 0.010282021151586369), ('sing', 0.009841363102232667)]"
63,63,"[('bernie', 0.039144617615077926), ('people', 0.025552736498731424), ('corporate', 0.023196810438564697), ('biden', 0.022834360275462123), ('sign', 0.021565784704603116), ('progressive', 0.020115984052192823), ('support', 0.01975353388909025), ('bernie_sander', 0.019028633562885103), ('petition', 0.015585357013410656), ('candidate', 0.014498006524102935)]"
64,64,"[('photo', 0.16466234967622573), ('photoset', 0.05365402405180388), ('video', 0.02312673450508788), ('omg', 0.01572617946345976), ('computer', 0.014801110083256245), ('coffee', 0.014801110083256245), ('awesome', 0.014801110083256245), ('adriofthedead', 0.011100832562442183), ('drunk', 0.010175763182238668), ('tho', 0.010175763182238668)]"
65,65,"[('indy', 0.05125725338491296), ('automatically_check', 0.04932301740812379), ('person_unfollow', 0.037717601547388784), ('snapchat', 0.0367504835589942), ('automatically_checked', 0.033849129593810444), ('bowl', 0.02127659574468085), ('paul', 0.0183752417794971), ('nike', 0.017408123791102514), ('league', 0.013539651837524178), ('tournament', 0.012572533849129593)]"
66,66,"[('nagel', 0.033707865168539325), ('responsiblecc', 0.011235955056179775), ('snapshotobama', 0.011235955056179775), ('duturte', 0.011235955056179775), ('singler', 0.011235955056179775), ('tattooedhahaha', 0.011235955056179775), ('rhetoricshe', 0.011235955056179775), ('trobgtbrow', 0.011235955056179775), ('erps', 0.011235955056179775), ('tx', 0.011235955056179775)]"
67,67,"[('minute', 0.0353395913859746), ('save', 0.03313086692435119), ('free', 0.027609055770292656), ('free_faucet', 0.024295969077857537), ('voice', 0.022087244616234125), ('vote', 0.01932633903920486), ('faucet', 0.018221976808393152), ('retweet', 0.015461071231363888), ('power', 0.013252346769740474), ('captain', 0.012700165654334622)]"
68,68,"[('troy', 0.04002389486260454), ('snow', 0.017323775388291517), ('winter', 0.014934289127837515), ('bridge', 0.014336917562724014), ('crew', 0.012544802867383513), ('storm', 0.012544802867383513), ('sunset', 0.010752688172043012), ('albany', 0.01015531660692951), ('road', 0.01015531660692951), ('morning', 0.01015531660692951)]"
69,69,"[('phillie', 0.04320691310609698), ('star_war', 0.012962073931829092), ('badass', 0.009601536245799328), ('trade', 0.009121459433509362), ('pitcher', 0.008641382621219395), ('zombie', 0.008641382621219395), ('hahahaha', 0.00816130580892943), ('cole_hamel', 0.00816130580892943), ('pitch', 0.00816130580892943), ('jennifer_lawrence', 0.007201152184349496)]"
70,70,"[('craziness', 0.01639344262295082), ('sequencing', 0.01639344262295082), ('readfern', 0.00819672131147541), ('sanchezburst', 0.00819672131147541), ('hisnnew', 0.00819672131147541), ('schmo', 0.00819672131147541), ('musicmp', 0.00819672131147541), ('ornntop', 0.00819672131147541), ('ungrammatical', 0.00819672131147541), ('wavefront', 0.00819672131147541)]"
71,71,"[('angel', 0.08576642335766424), ('pitching', 0.032846715328467155), ('california', 0.020072992700729927), ('farm', 0.020072992700729927), ('mike_trout', 0.016423357664233577), ('albert', 0.016423357664233577), ('grand_prix', 0.012773722627737226), ('knotts_berry', 0.010948905109489052), ('pujol', 0.010948905109489052), ('ohtani', 0.010948905109489052)]"
72,72,"[('cat', 0.06089816284871853), ('dog', 0.041392606033114086), ('rescue', 0.02256747561805398), ('kitten', 0.02188704921750964), ('site', 0.018598321614878656), ('giveaway', 0.017917895214334317), ('destroy', 0.017577682014062145), ('gift_card', 0.01678385121342708), ('animal_rescue', 0.015536402812429122), ('save', 0.013381719210705375)]"
73,73,"[('pottery', 0.018691588785046728), ('fucktrump', 0.018691588785046728), ('bacteria', 0.018691588785046728), ('simon', 0.009345794392523364), ('hairbecause', 0.009345794392523364), ('bernnnnnnn', 0.009345794392523364), ('andronicus', 0.009345794392523364), ('felon', 0.009345794392523364), ('evil_hd', 0.009345794392523364), ('bedbug', 0.009345794392523364)]"
74,74,"[('texas', 0.018052057094878254), ('ggs', 0.0163727959697733), ('stage', 0.015533165407220823), ('valiant', 0.015113350125944584), ('match', 0.014273719563392108), ('texan', 0.013014273719563391), ('boy', 0.013014273719563391), ('overwatch', 0.012174643157010915), ('houston', 0.011335012594458438), ('aggie', 0.011335012594458438)]"
75,75,"[('eeeettt', 0.014925373134328358), ('trainspott', 0.014925373134328358), ('webs', 0.014925373134328358), ('itt', 0.014925373134328358), ('mommys', 0.014925373134328358), ('zzzzzzzzzzzz', 0.014925373134328358), ('china', 0.014925373134328358), ('onscrub', 0.014925373134328358), ('shurmur', 0.014925373134328358), ('aintwhat', 0.014925373134328358)]"
76,76,"[('office', 0.020416024653312787), ('wife', 0.014252696456086287), ('columbus', 0.014252696456086287), ('lebron', 0.013097072419106317), ('tax', 0.012711864406779662), ('montana', 0.012326656394453005), ('ohio_state', 0.012326656394453005), ('morning', 0.01078582434514638), ('ohio', 0.010015408320493066), ('son', 0.00963020030816641)]"
77,77,"[('krang', 0.025), ('movementspeed', 0.0125), ('animation', 0.0125), ('asiago', 0.0125), ('monthsworth', 0.0125), ('decied', 0.0125), ('nonplayoff', 0.0125), ('tear', 0.0125), ('liveskansa', 0.0125), ('arrive', 0.0125)]"
78,78,"[('redid', 0.016260162601626018), ('tomato', 0.008130081300813009), ('orgasmafter', 0.008130081300813009), ('poisonou', 0.008130081300813009), ('memoriesforgot', 0.008130081300813009), ('messso', 0.008130081300813009), ('emptyheart', 0.008130081300813009), ('bornethis', 0.008130081300813009), ('reviewamazon', 0.008130081300813009), ('tetherit', 0.008130081300813009)]"
79,79,"[('podcast', 0.1019522776572668), ('bro', 0.04121475054229935), ('phoenix', 0.021691973969631236), ('elaine', 0.019522776572668113), ('homie', 0.01735357917570499), ('diaz', 0.013015184381778741), ('kobe', 0.010845986984815618), ('adam_yauch', 0.010845986984815618), ('pacific', 0.008676789587852495), ('brazzer', 0.008676789587852495)]"
80,80,"[('ansonia', 0.015384615384615385), ('rockruff', 0.007692307692307693), ('factnew', 0.007692307692307693), ('swamp', 0.007692307692307693), ('albuquerque', 0.007692307692307693), ('comdh', 0.007692307692307693), ('tin', 0.007692307692307693), ('moocher', 0.007692307692307693), ('gotgrant', 0.007692307692307693), ('ncdec', 0.007692307692307693)]"
81,81,"[('game', 0.1004646531695984), ('play', 0.04215068038499834), ('good', 0.02416196481911716), ('people', 0.0134749419183538), ('buy', 0.01174908728841686), ('pc', 0.009956853634251576), ('hour', 0.00882841022236973), ('ps', 0.0086292731496847), ('fun', 0.007899103883172918), ('release', 0.007036176568204448)]"
82,82,"[('game', 0.06456022291151885), ('team', 0.031622943062930446), ('player', 0.020345933441985174), ('play', 0.015141159770779665), ('fan', 0.015088586299353347), ('season', 0.012433625992324273), ('win', 0.012275905578045318), ('coach', 0.010672414699542611), ('football', 0.010646127963829452), ('playoff', 0.008385468692497766)]"
